"Type","Status","Last Updated","Nationality","2017","2018","2019","2020","2021","2022","2023","2024","2025","2026"
"short term visa applications","Received","28/02/2026","Syrian Arab Republic (the)","339","434","622","68","97","394","378","488","378","46"
"short term visa applications","Received","28/02/2026","Tajikistan","11","21","30","6","6","22","22","46","37","*"
"short term visa applications","Received","28/02/2026","Tanzania, the United Republic of","203","315","159","43","45","219","380","361","456","61"
"short term visa applications","Received","28/02/2026","Thailand","1499","1517","1382","315","189","964","1149","1402","1188","221"
"short term visa applications","Received","28/02/2026","Timor-Leste","*","*","*","*","*","6","10","12","11","*"
"short term visa applications","Received","28/02/2026","Togo","36","31","33","*","*","39","24","127","163","16"
"short term visa applications","Received","28/02/2026","Tokelau","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Trinidad and Tobago","*","0","0","0","0","0","0","0","242","39"
"short term visa applications","Received","28/02/2026","Tunisia","352","366","399","83","75","341","386","551","383","78"
"short term visa applications","Received","28/02/2026","Turkiye","4493","4533","4435","900","791","3590","4862","5559","5518","776"
"short term visa applications","Received","28/02/2026","Turkmenistan","15","14","8","*","*","12","14","6","9","*"
"short term visa applications","Received","28/02/2026","Turks and Caicos Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Uganda","344","485","484","96","65","560","694","552","648","47"
"short term visa applications","Received","28/02/2026","United Kingdom of Great Britain and Northern Ireland (the)","7","*","8","*","*","*","14","*","8","*"
"short term visa applications","Received","28/02/2026","United States Minor Outlying Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Uzbekistan","136","73","87","16","11","97","73","91","136","29"
"short term visa applications","Received","28/02/2026","Vanuatu","0","0","0","0","0","0","0","15","13","9"
"short term visa applications","Received","28/02/2026","Venezuela (Bolivarian Republic of)","547","565","525","74","71","373","455","462","489","36"
"short term visa applications","Received","28/02/2026","Viet Nam","812","942","935","146","52","585","790","1069","1008","100"
"short term visa applications","Received","28/02/2026","Virgin Islands (British)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Virgin Islands (U.S.)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Wallis and Futuna","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Western Sahara","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Received","28/02/2026","Yemen","124","131","117","13","34","105","89","86","110","11"
"short term visa applications","Received","28/02/2026","Zambia","240","242","215","52","33","175","330","420","374","67"
"short term visa applications","Received","28/02/2026","Zimbabwe","592","763","675","128","172","566","921","1162","1296","160"
"short term visa applications","Received","28/02/2026","*Other","4642","4245","5202","1009","820","557","295","242","256","35"
"short term visa applications","Granted","28/02/2026","Afghanistan","41","37","96","22","31","134","207","261","181","18"
"short term visa applications","Granted","28/02/2026","Åland Islands","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Albania","322","397","429","50","114","494","488","286","302","46"
"short term visa applications","Granted","28/02/2026","Algeria","242","256","361","67","33","170","324","353","286","48"
"short term visa applications","Granted","28/02/2026","American Samoa","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Angola","48","66","51","8","6","48","67","51","50","26"
"short term visa applications","Granted","28/02/2026","Anguilla","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Antarctica","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Armenia","168","158","268","33","25","230","324","291","382","30"
"short term visa applications","Granted","28/02/2026","Aruba","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Azerbaijan","170","198","220","37","73","188","216","245","216","59"
"short term visa applications","Granted","28/02/2026","Bahrain","244","211","241","42","76","191","157","188","267","26"
"short term visa applications","Granted","28/02/2026","Bangladesh","400","434","467","68","68","473","673","823","899","120"
"short term visa applications","Granted","28/02/2026","Belarus","1379","1421","1414","222","110","387","449","604","542","44"
"short term visa applications","Granted","28/02/2026","Benin","18","17","26","*","0","*","11","9","21","*"
"short term visa applications","Granted","28/02/2026","Bermuda","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Bhutan","12","13","8","*","0","*","*","*","8","0"
"short term visa applications","Granted","28/02/2026","Bolivia (Plurinational State of)","0","0","0","0","0","0","25","110","130","16"
"short term visa applications","Granted","28/02/2026","Bonaire, Sint Eustatius and Saba","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Bosnia and Herzegovina","406","526","386","110","60","320","344","527","327","54"
"short term visa applications","Granted","28/02/2026","Botswana","*","*","0","0","*","0","0","42","96","7"
"short term visa applications","Granted","28/02/2026","Bouvet Island","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Burkina Faso","19","20","18","*","*","14","8","10","13","0"
"short term visa applications","Granted","28/02/2026","Burundi","32","19","18","0","*","7","9","13","7","0"
"short term visa applications","Granted","28/02/2026","Cabo Verde","8","13","16","*","*","7","6","11","14","*"
"short term visa applications","Granted","28/02/2026","Cambodia","52","41","41","14","*","31","70","53","81","7"
"short term visa applications","Granted","28/02/2026","Cameroon","166","151","138","37","26","100","158","207","163","18"
"short term visa applications","Granted","28/02/2026","Cayman Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Central African Republic (the)","*","9","*","0","0","*","*","*","0","*"
"short term visa applications","Granted","28/02/2026","Ceuta","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Chad","9","*","9","*","0","*","*","6","*","0"
"short term visa applications","Granted","28/02/2026","China","13055","16124","18468","1469","602","3385","10469","12267","10467","1172"
"short term visa applications","Granted","28/02/2026","Christmas Island","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Cocos (Keeling) Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Colombia","1272","1368","1462","174","129","918","1298","1624","1253","121"
"short term visa applications","Granted","28/02/2026","Comoros (the)","17","*","*","0","*","*","*","*","*","0"
"short term visa applications","Granted","28/02/2026","Congo (the Democratic Republic of the)","213","136","116","13","14","98","132","140","124","27"
"short term visa applications","Granted","28/02/2026","Congo (the)","17","7","16","12","0","12","18","20","11","*"
"short term visa applications","Granted","28/02/2026","Cook Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Côte d'Ivoire","48","55","38","21","*","45","34","39","44","15"
"short term visa applications","Granted","28/02/2026","Cuba","84","136","259","7","7","56","45","48","46","*"
"short term visa applications","Granted","28/02/2026","Curaçao","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Djibouti","10","8","6","0","0","7","*","*","*","*"
"short term visa applications","Granted","28/02/2026","Dominica","0","0","0","0","0","0","0","44","35","8"
"short term visa applications","Granted","28/02/2026","Dominican Republic (the)","89","124","113","16","12","98","173","120","201","8"
"short term visa applications","Granted","28/02/2026","Ecuador","247","291","313","34","8","150","234","325","282","29"
"short term visa applications","Granted","28/02/2026","Egypt","1452","1650","1817","340","210","1171","1585","1801","1782","338"
"short term visa applications","Granted","28/02/2026","Equatorial Guinea","*","0","*","0","0","*","*","0","0","0"
"short term visa applications","Granted","28/02/2026","Eritrea","18","21","18","*","*","36","35","23","28","*"
"short term visa applications","Granted","28/02/2026","Eswatini","*","0","0","0","0","0","0","0","65","6"
"short term visa applications","Granted","28/02/2026","Ethiopia","237","292","254","20","33","176","248","228","225","17"
"short term visa applications","Granted","28/02/2026","Falkland Islands (the) [Malvinas]","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Faroe Islands (the)","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","French Guiana","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","French Polynesia","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Gabon","10","13","21","*","0","6","*","16","11","*"
"short term visa applications","Granted","28/02/2026","Gambia (the)","24","31","13","13","13","17","16","25","16","*"
"short term visa applications","Granted","28/02/2026","Georgia","325","300","451","108","88","445","519","540","447","77"
"short term visa applications","Granted","28/02/2026","Ghana","314","370","346","64","68","280","359","511","501","54"
"short term visa applications","Granted","28/02/2026","Gibraltar","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Greenland","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Guadeloupe","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Guam","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Guernsey","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Guinea","19","20","28","*","7","14","24","33","18","*"
"short term visa applications","Granted","28/02/2026","Guinea-Bissau","*","*","*","*","*","*","6","*","*","0"
"short term visa applications","Granted","28/02/2026","Haiti","42","69","21","*","*","*","21","19","8","*"
"short term visa applications","Granted","28/02/2026","Heard Island and McDonald Islands","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Honduras","0","0","*","0","0","0","0","82","59","8"
"short term visa applications","Granted","28/02/2026","India","17544","19704","23262","5076","3384","22756","32801","39942","44820","5736"
"short term visa applications","Granted","28/02/2026","Indonesia","2599","3086","3382","470","150","678","903","1013","1071","155"
"short term visa applications","Granted","28/02/2026","Iran (Islamic Republic of)","722","721","634","119","83","574","731","499","523","70"
"short term visa applications","Granted","28/02/2026","Iraq","133","152","150","26","31","277","316","276","170","15"
"short term visa applications","Granted","28/02/2026","Isle of Man","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Jamaica","142","159","149","10","14","93","127","123","95","11"
"short term visa applications","Granted","28/02/2026","Jersey","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Jordan","623","747","725","119","97","596","702","645","829","98"
"short term visa applications","Granted","28/02/2026","Kazakhstan","422","469","388","67","51","219","359","367","264","27"
"short term visa applications","Granted","28/02/2026","Kenya","600","743","618","112","87","620","713","821","952","89"
"short term visa applications","Granted","28/02/2026","Korea (the Democratic People's Republic of) North Korea","*","*","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Kosovo","228","176","175","23","26","179","149","288","272","27"
"short term visa applications","Granted","28/02/2026","Kuwait","1029","1128","1070","146","500","1000","918","940","1143","118"
"short term visa applications","Granted","28/02/2026","Kyrgyzstan","64","55","47","17","10","44","42","64","80","*"
"short term visa applications","Granted","28/02/2026","Lao People's Democratic Republic (the)","16","17","7","9","0","13","16","9","19","*"
"short term visa applications","Granted","28/02/2026","Lebanon","947","980","1004","168","99","572","767","715","872","119"
"short term visa applications","Granted","28/02/2026","Lesotho","0","0","0","0","0","0","0","0","16","0"
"short term visa applications","Granted","28/02/2026","Liberia","22","20","14","*","0","20","20","32","34","*"
"short term visa applications","Granted","28/02/2026","Libya","31","45","98","10","10","48","41","45","32","7"
"short term visa applications","Granted","28/02/2026","Macao","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Madagascar","21","26","28","9","*","23","30","23","19","*"
"short term visa applications","Granted","28/02/2026","Malawi","152","151","206","23","28","192","269","329","228","24"
"short term visa applications","Granted","28/02/2026","Mali","32","11","25","*","0","14","22","20","15","*"
"short term visa applications","Granted","28/02/2026","Marshall Islands (the)","0","0","*","0","0","*","0","*","0","0"
"short term visa applications","Granted","28/02/2026","Martinique","0","0","0","0","0","0","0","0","0","0"
"short term visa applications","Granted","28/02/2026","Mauritania","*","*","7","0","*","*","*","*","6","*"
"short term visa applications","Granted","28/02/2026","Mauritius","261","244","338","36","32","238","297","373","448","41"
